year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t
1998	6	2	99	19.2	29.8	33.5	37.7	41.7	54.5
1998	6	3	1	0.0	0.0	0.0	0.0	29.5	100.0
1998	6	3	2	9.2	16.6	20.5	26.8	36.5	52.3
1998	6	3	3	24.2	43.4	49.1	58.5	65.1	75.2
1998	6	3	4	43.5	63.7	68.6	73.9	78.5	93.6
1998	6	3	5	62.8	72.1	76.3	81.6	88.3	95.6
1998	6	3	6	53.2	74.5	78.9	83.4	88.6	100.0
1998	6	3	7	0.0	40.7	50.2	61.5	67.3	100.0
1998	6	3	8	0.0	0.0	0.0	1.4	12.7	33.9
1998	6	3	99	47.4	53.4	56.8	61.1	66.2	73.8
1998	6	99	1	1.1	4.9	6.7	9.5	11.9	23.7
1998	6	99	2	11.2	22.2	27.2	32.8	36.0	49.1
1998	6	99	3	30.3	36.6	45.0	49.1	60.5	67.8
1998	6	99	4	21.6	38.4	46.2	52.5	57.8	73.3
1998	6	99	5	24.5	39.5	43.4	49.7	54.5	65.4
1998	6	99	6	20.1	26.2	32.7	37.6	41.2	58.8
1998	6	99	7	6.3	13.4	16.0	18.5	25.0	47.0
1998	6	99	8	0.0	0.5	0.7	0.9	1.3	3.1
1998	6	99	99	15.2	22.7	25.4	28.7	32.4	40.2
1998	99	1	1	0.0	10.8	14.5	22.4	36.9	52.5
1998	99	1	2	23.0	37.5	48.8	55.1	66.9	84.6
1998	99	1	3	30.2	42.9	49.5	55.9	66.6	81.9
1998	99	1	4	18.2	45.0	51.3	58.4	62.3	82.2
1998	99	1	5	37.1	50.0	53.9	59.6	63.2	78.1
1998	99	1	6	33.5	44.9	50.5	53.9	58.4	69.3
1998	99	1	7	18.2	24.6	30.8	33.3	38.7	49.6
1998	99	1	8	0.2	0.7	0.8	1.2	1.6	5.9
1998	99	1	99	20.5	23.9	26.4	29.2	31.9	36.3
1998	99	2	1	1.7	7.6	9.7	12.8	16.9	26.1
1998	99	2	2	20.6	31.5	37.1	42.1	50.1	58.8
1998	99	2	3	41.8	54.1	62.1	68.3	75.2	83.2
1998	99	2	4	47.8	60.4	65.1	69.9	73.4	83.3
1998	99	2	5	54.3	64.6	66.2	70.2	74.9	78.1
1998	99	2	6	52.4	62.7	64.9	68.9	71.3	83.5
1998	99	2	7	24.9	39.7	44.1	48.5	53.1	74.3
1998	99	2	8	0.0	0.5	1.5	3.1	5.2	17.2
1998	99	2	99	35.9	46.3	49.6	52.9	58.0	65.5
1998	99	3	1	0.0	0.0	0.0	0.0	24.4	100.0
1998	99	3	2	9.2	16.0	19.8	23.7	33.8	49.7
1998	99	3	3	35.6	45.5	49.3	56.2	65.3	78.3
1998	99	3	4	53.6	71.1	75.6	78.6	83.1	95.1
1998	99	3	5	73.8	82.5	84.6	87.8	91.3	95.7
1998	99	3	6	72.9	84.2	87.7	90.2	92.6	97.4
