year	prov_resid	sexo	estud_gr	edad_gr	tocup
1996	3	6	2	99	35.6
1996	3	6	3	1	0.0
1996	3	6	3	2	30.8
1996	3	6	3	3	63.7
1996	3	6	3	4	72.3
1996	3	6	3	5	86.4
1996	3	6	3	6	87.2
1996	3	6	3	7	28.0
1996	3	6	3	8	5.8
1996	3	6	3	99	62.8
1996	3	6	99	1	15.7
1996	3	6	99	2	39.6
1996	3	6	99	3	47.6
1996	3	6	99	4	42.3
1996	3	6	99	5	45.9
1996	3	6	99	6	34.6
1996	3	6	99	7	15.2
1996	3	6	99	8	2.1
1996	3	6	99	99	28.9
1996	3	99	1	1	16.9
1996	3	99	1	2	46.4
1996	3	99	1	3	54.5
1996	3	99	1	4	53.2
1996	3	99	1	5	54.3
1996	3	99	1	6	53.2
1996	3	99	1	7	30.9
1996	3	99	1	8	1.9
1996	3	99	1	99	31.2
1996	3	99	2	1	17.1
1996	3	99	2	2	46.7
1996	3	99	2	3	62.7
1996	3	99	2	4	61.2
1996	3	99	2	5	63.9
1996	3	99	2	6	58.0
1996	3	99	2	7	41.2
1996	3	99	2	8	3.2
1996	3	99	2	99	49.6
1996	3	99	3	1	0.0
1996	3	99	3	2	28.1
1996	3	99	3	3	56.1
1996	3	99	3	4	75.6
1996	3	99	3	5	93.7
1996	3	99	3	6	90.6
1996	3	99	3	7	36.1
1996	3	99	3	8	4.5
1996	3	99	3	99	64.2
1996	3	99	99	1	17.1
1996	3	99	99	2	45.1
1996	3	99	99	3	60.8
1996	3	99	99	4	61.2
1996	3	99	99	5	64.2
1996	3	99	99	6	57.0
1996	3	99	99	7	32.5
1996	3	99	99	8	2.1
1996	3	99	99	99	42.1
1996	4	1	1	1	55.0
1996	4	1	1	2	70.5
1996	4	1	1	3	74.4
1996	4	1	1	4	80.3
1996	4	1	1	5	72.9
1996	4	1	1	6	70.8
1996	4	1	1	7	45.0
1996	4	1	1	8	1.3
1996	4	1	1	99	48.1
1996	4	1	2	1	18.0
1996	4	1	2	2	44.7
1996	4	1	2	3	77.0
1996	4	1	2	4	80.1
1996	4	1	2	5	83.9
1996	4	1	2	6	68.3
1996	4	1	2	7	62.4
1996	4	1	2	8	4.4
1996	4	1	2	99	59.1
1996	4	1	3	2	25.6
1996	4	1	3	3	65.9
1996	4	1	3	4	73.4
1996	4	1	3	5	92.6
1996	4	1	3	6	100.0
1996	4	1	3	7	92.3
1996	4	1	3	8	19.5
1996	4	1	3	99	73.9
1996	4	1	99	1	25.1
1996	4	1	99	2	49.2
1996	4	1	99	3	73.9
1996	4	1	99	4	79.4
1996	4	1	99	5	79.4
1996	4	1	99	6	72.5
1996	4	1	99	7	51.0
1996	4	1	99	8	2.2
1996	4	1	99	99	54.8
1996	4	6	1	1	36.7
1996	4	6	1	2	29.4
1996	4	6	1	3	21.4
1996	4	6	1	4	28.8
1996	4	6	1	5	38.3
1996	4	6	1	6	27.4
1996	4	6	1	7	17.4
1996	4	6	1	8	1.3
1996	4	6	1	99	18.5
1996	4	6	2	1	11.0
1996	4	6	2	2	27.5
1996	4	6	2	3	39.0
1996	4	6	2	4	42.1
1996	4	6	2	5	45.7
1996	4	6	2	6	54.1
1996	4	6	2	7	30.1
1996	4	6	2	8	0.0
1996	4	6	2	99	33.0
1996	4	6	3	2	29.0
1996	4	6	3	3	52.0
1996	4	6	3	4	85.2
1996	4	6	3	5	86.0
