year	prov_resid	sexo	estud_gr	edad_gr	tparo
1996	4	6	1	5	18.2
1996	4	6	1	6	26.5
1996	4	6	1	7	26.4
1996	4	6	1	8	0.0
1996	4	6	1	99	29.1
1996	4	6	2	1	55.7
1996	4	6	2	2	38.1
1996	4	6	2	3	32.2
1996	4	6	2	4	37.0
1996	4	6	2	5	27.7
1996	4	6	2	6	12.2
1996	4	6	2	7	0.0
1996	4	6	2	8	0.0
1996	4	6	2	99	33.8
1996	4	6	3	2	50.2
1996	4	6	3	3	41.2
1996	4	6	3	4	9.4
1996	4	6	3	5	3.9
1996	4	6	3	6	0.0
1996	4	6	3	7	7.7
1996	4	6	3	8	0.0
1996	4	6	3	99	21.6
1996	4	6	99	1	53.1
1996	4	6	99	2	43.3
1996	4	6	99	3	38.8
1996	4	6	99	4	28.6
1996	4	6	99	5	20.0
1996	4	6	99	6	18.3
1996	4	6	99	7	21.7
1996	4	6	99	8	0.0
1996	4	6	99	99	29.8
1996	4	99	1	1	31.6
1996	4	99	1	2	30.6
1996	4	99	1	3	33.3
1996	4	99	1	4	19.9
1996	4	99	1	5	20.4
1996	4	99	1	6	18.0
1996	4	99	1	7	16.5
1996	4	99	1	8	0.0
1996	4	99	1	99	21.5
1996	4	99	2	1	42.7
1996	4	99	2	2	27.0
1996	4	99	2	3	23.7
1996	4	99	2	4	24.8
1996	4	99	2	5	15.8
1996	4	99	2	6	17.8
1996	4	99	2	7	5.9
1996	4	99	2	8	0.0
1996	4	99	2	99	23.3
1996	4	99	3	2	49.1
1996	4	99	3	3	31.8
1996	4	99	3	4	8.8
1996	4	99	3	5	6.0
1996	4	99	3	6	0.0
1996	4	99	3	7	2.8
1996	4	99	3	8	0.0
1996	4	99	3	99	16.2
1996	4	99	99	1	38.8
1996	4	99	99	2	30.0
1996	4	99	99	3	27.9
1996	4	99	99	4	21.0
1996	4	99	99	5	16.9
1996	4	99	99	6	15.7
1996	4	99	99	7	13.4
1996	4	99	99	8	0.0
1996	4	99	99	99	21.5
1996	5	1	1	1	6.4
1996	5	1	1	2	19.3
1996	5	1	1	3	5.4
1996	5	1	1	4	11.9
1996	5	1	1	5	22.3
1996	5	1	1	6	7.6
1996	5	1	1	7	10.3
1996	5	1	1	8	0.0
1996	5	1	1	99	12.3
1996	5	1	2	1	36.1
1996	5	1	2	2	30.4
1996	5	1	2	3	13.5
1996	5	1	2	4	2.7
1996	5	1	2	5	13.6
1996	5	1	2	6	4.2
1996	5	1	2	7	0.0
1996	5	1	2	8	0.0
1996	5	1	2	99	14.0
1996	5	1	3	2	50.9
1996	5	1	3	3	45.6
1996	5	1	3	4	6.2
1996	5	1	3	5	4.1
1996	5	1	3	6	0.0
1996	5	1	3	7	0.0
1996	5	1	3	8	0.0
1996	5	1	3	99	12.6
1996	5	1	99	1	28.3
1996	5	1	99	2	30.9
1996	5	1	99	3	17.4
1996	5	1	99	4	5.9
1996	5	1	99	5	16.5
1996	5	1	99	6	6.5
1996	5	1	99	7	9.3
1996	5	1	99	8	0.0
